event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PNG1023,2021-01-02,2021,2,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Kamaneglu Tribal Group (Papua New Guinea),Rioters,Rioters (Papua New Guinea),Kuglkane Clan Group (Papua New Guinea),Rioters,Rioters-Rioters,NA,598,Oceania,Papua New Guinea,Madang,Usino Bundi,NA,Yandara,-5.7371,145.1493,2,The National (Papua New Guinea),National,"Around 2 January 2021 (weekend of), Kamaneglu and Kuglkane tribes clashed in Bundi LLG (coded to Yandara, Madang). This resulted in Kamaneglu tribesmen blocking the road connecting Madang and Chimbu. There were no casualties.",0,crowd size=no report,1738102177
PNG628,2021-01-03,2021,1,Strategic developments,Strategic developments,Agreement,Civilians (Papua New Guinea),Yalingin Tribal Group (Papua New Guinea); Wagin Tribal Group (Papua New Guinea),Civilians,Civilians (Papua New Guinea),Milya Tribal Group (Papua New Guinea); Yakuman Tribal Group (Papua New Guinea),Civilians,Civilians-Civilians,NA,598,Oceania,Papua New Guinea,Enga,Kompiam,NA,Kompiam Stat.,-5.3853,143.9228,2,Enga Nius,Subnational,"On 3 January 2021, Yalingin, Wagin, Milya, and Yakuman tribes agreed to a ceasefire in Kompiam district, Enga (coded at Kompiam Stat.) after being issued Preventative Orders to cease fighting by Enga Law and Order. This followed 9 months of fighting among the 4 tribes that stemmed from the killing of a Yalingin man in 2020. The ceasefire was witnessed by representatives from Enga Law and Order, local leaders, and the chief of the four tribes.",0,NA,1734463312
PNG6,2021-01-05,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Labu Communal Group (Papua New Guinea),Rioters,Police Forces of Papua New Guinea (2019-),NA,State forces,State forces-Rioters,NA,598,Oceania,Papua New Guinea,East Sepik,Wewak,NA,Wewak,-3.5682,143.6221,1,The National (Papua New Guinea),National,"On 5 January 2021, Labu camp residents attacked Wewak police station with rocks and assaulted a police officer in Wewak town (East Sepik) in response to the escape of 29 violent detainees earlier.",0,crowd size=no report,1728421385
PNG7,2021-01-06,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Papua New Guinea),NA,Protesters,NA,NA,NA,Protesters only,NA,598,Oceania,Papua New Guinea,National Capital District,National Capital District,NA,Port Moresby,-9.444,147.1813,1,Post Courier,National,"On 6 January 2021, youths protested in Baruni Road in Port Moresby (National Capital District) regarding water cuts to their village of Baruni. The youths erected roadblocks, but the protest remained peaceful otherwise.",0,crowd size=no report,1750186809
PNG18,2021-01-07,2021,1,Political violence,Violence against civilians,Attack,Police Forces of Papua New Guinea (2019-),NA,State forces,Civilians (China),Labor Group (China),Civilians,State forces-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Western,North Fly,NA,Dande,-5.8343,141.1717,1,The National (Papua New Guinea),National,"On 7 January 2021, a policeman and two other assailants killed a Chinese businessman at his store in Dande village (Western). Police asserted that the assailants were paid to kill the victim as nothing was stolen. The motive for the attack is unknown.",1,NA,1754410691
PNG20,2021-01-11,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Papua New Guinea),NA,Protesters,NA,NA,NA,Protesters only,NA,598,Oceania,Papua New Guinea,New Ireland,Kavieng,NA,Kavieng Urban,-2.5698,150.8034,1,Loop News Papua New Guinea,National,"On 11 January 2021, landowners protested at the international airport in Kavieng (New Ireland) demanding compensation for the expropriation of their land used by the airport.",0,crowd size=no report,1748971251
PNG33,2021-01-14,2021,2,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),NA,Rioters,Police Forces of Papua New Guinea (2019-),NA,State forces,State forces-Rioters,NA,598,Oceania,Papua New Guinea,Morobe,Lae,NA,Lae,-6.7169,146.9998,1,The National (Papua New Guinea),National,"Around 14 January 2021 (between 11 - 17 January), youths assaulted two police officers with rocks at Malahang market in Lae (Morobe) in response to the police officers arresting a man accused of marijuana possession. The severity of any injuries caused is unknown and the market was closed indefinitely.",0,crowd size=no report,1651165044
PNG967,2021-01-16,2021,2,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Vigilante Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),Women (Papua New Guinea),Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Enga,Lagaip-Porgera,NA,Sirunki,-5.4255,143.5414,1,Post Courier,National,"Around 16 January 2021 (week of), a group of people attacked three women accused of committing sorcery in Sirunki (Enga). The group believed that the women had used sorcery to kill a man in their village. The women were rescued and brought to a treatment center on 2021-01-18.",0,crowd size=no report; women targeted: accused of witchcraft/sorcery,1721769336
PNG35,2021-01-18,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Papua New Guinea),Labor Group (Papua New Guinea),Protesters,NA,NA,NA,Protesters only,NA,598,Oceania,Papua New Guinea,National Capital District,National Capital District,NA,Port Moresby,-9.444,147.1813,1,The National (Papua New Guinea),National,"On 18 January 2021, a group of public motor vehicle operators demonstrated at Sir Bill Skate Oval in the suburb of Kaugere, Port Moresby (National Capital District). The protesters were from Gulf province and demanded accountability from the Gulf transport board, which had been issuing permits to operators based outside of Gulf province.",0,crowd size=no report,1750186809
PNG34,2021-01-18,2021,1,Political violence,Riots,Mob violence,Rioters (Papua New Guinea),Vigilante Group (Papua New Guinea),Rioters,Civilians (Papua New Guinea),Women (Papua New Guinea),Civilians,Rioters-Civilians,Civilian targeting,598,Oceania,Papua New Guinea,Enga,Lagaip-Porgera,NA,Sirunki,-5.4255,143.5414,1,Post Courier,National,"On 18 January 2021, villagers attacked and tortured three women suspected of practicing sorcery in Sirunki ward (Enga) causing severe injuries to them. The women had to be rescued by community and religious leaders as the local police refused to deploy due to lack of fuel.",0,crowd size=no report; women targeted: accused of witchcraft/sorcery,1719352969
