wardcode,wardname,ADM2_PCODE,countyname,ADM1_PCODE,statename,year,month,ACLED_BRD_nonstate,ACLED_BRD_state,ACLED_BRD_total
10,Ningerum Rural LLG,10,10,10,10,2021,1,0.0,1.0,1.0
100,Maramuni Rural,100,100,100,100,2021,1,1.0,0.0,1.0
100,Maramuni Rural,100,100,100,100,2021,2,4.0,0.0,4.0
101,Maip Muritaka Rural,101,101,101,101,2021,3,1.0,0.0,1.0
101,Maip Muritaka Rural,101,101,101,101,2024,10,0.0,1.0,1.0
101,Maip Muritaka Rural,101,101,101,101,2025,8,1.0,0.0,1.0
103,Wage Rural,103,103,103,103,2023,5,20.0,0.0,20.0
103,Wage Rural,103,103,103,103,2025,5,3.0,0.0,3.0
104,Kandep Rural,104,104,104,104,2024,8,1.0,0.0,1.0
105,Tsak Rural,105,105,105,105,2021,11,14.0,0.0,14.0
105,Tsak Rural,105,105,105,105,2021,12,14.0,0.0,14.0
105,Tsak Rural,105,105,105,105,2022,1,14.0,0.0,14.0
106,Wapenamanda Rural,106,106,106,106,2021,12,18.0,0.0,18.0
106,Wapenamanda Rural,106,106,106,106,2022,9,1.0,0.0,1.0
106,Wapenamanda Rural,106,106,106,106,2023,3,1.0,0.0,1.0
106,Wapenamanda Rural,106,106,106,106,2023,5,4.0,0.0,4.0
106,Wapenamanda Rural,106,106,106,106,2023,6,11.0,0.0,11.0
106,Wapenamanda Rural,106,106,106,106,2023,7,19.0,0.0,19.0
106,Wapenamanda Rural,106,106,106,106,2023,8,9.0,0.0,9.0
106,Wapenamanda Rural,106,106,106,106,2023,11,8.0,0.0,8.0
106,Wapenamanda Rural,106,106,106,106,2023,12,30.0,0.0,30.0
106,Wapenamanda Rural,106,106,106,106,2024,2,3.0,0.0,3.0
106,Wapenamanda Rural,106,106,106,106,2024,10,1.0,0.0,1.0
106,Wapenamanda Rural,106,106,106,106,2025,8,7.0,0.0,7.0
106,Wapenamanda Rural,106,106,106,106,2025,9,1.0,0.0,1.0
106,Wapenamanda Rural,106,106,106,106,2025,10,2.0,0.0,2.0
106,Wapenamanda Rural,106,106,106,106,2025,11,3.0,0.0,3.0
107,Lagaip Rural,107,107,107,107,2023,11,2.0,0.0,2.0
107,Lagaip Rural,107,107,107,107,2024,4,4.0,0.0,4.0
107,Lagaip Rural,107,107,107,107,2024,10,9.0,0.0,9.0
107,Lagaip Rural,107,107,107,107,2024,11,2.0,0.0,2.0
107,Lagaip Rural,107,107,107,107,2024,12,2.0,0.0,2.0
107,Lagaip Rural,107,107,107,107,2025,9,1.0,0.0,1.0
108,Pilikambi Rural,108,108,108,108,2023,8,2.0,0.0,2.0
108,Pilikambi Rural,108,108,108,108,2023,12,10.0,0.0,10.0
108,Pilikambi Rural,108,108,108,108,2024,8,1.0,0.0,1.0
109,Anglimp Rural,109,109,109,109,2022,8,0.0,4.0,4.0
109,Anglimp Rural,109,109,109,109,2025,1,1.0,0.0,1.0
109,Anglimp Rural,109,109,109,109,2025,7,1.0,0.0,1.0
110,Baiyer Rural,110,110,110,110,2023,12,1.0,0.0,1.0
110,Baiyer Rural,110,110,110,110,2024,1,2.0,0.0,2.0
110,Baiyer Rural,110,110,110,110,2024,10,2.0,0.0,2.0
111,Lumusa Rural,111,111,111,111,2022,9,1.0,0.0,1.0
111,Lumusa Rural,111,111,111,111,2023,6,1.0,0.0,1.0
113,Mt Giluwe Rural,113,113,113,113,2022,7,4.0,0.0,4.0
115,Mt Hagen Rural,115,115,115,115,2025,5,0.0,3.0,3.0
115,Mt Hagen Rural,115,115,115,115,2025,11,5.0,0.0,5.0
116,Mt Hagen Urban,116,116,116,116,2021,2,1.0,0.0,1.0
116,Mt Hagen Urban,116,116,116,116,2022,4,4.0,0.0,4.0
116,Mt Hagen Urban,116,116,116,116,2023,5,1.0,0.0,1.0
116,Mt Hagen Urban,116,116,116,116,2024,10,1.0,0.0,1.0
116,Mt Hagen Urban,116,116,116,116,2024,11,4.0,0.0,4.0
116,Mt Hagen Urban,116,116,116,116,2025,8,4.0,0.0,4.0
118,Kotna Rural,118,118,118,118,2024,5,4.0,0.0,4.0
119,South Waghi Rural,119,119,119,119,2023,2,1.0,0.0,1.0
119,South Waghi Rural,119,119,119,119,2023,11,1.0,0.0,1.0
119,South Waghi Rural,119,119,119,119,2023,12,11.0,0.0,11.0
119,South Waghi Rural,119,119,119,119,2025,3,1.0,0.0,1.0
119,South Waghi Rural,119,119,119,119,2025,5,1.0,0.0,1.0
121,Jimi Rural,121,121,121,121,2022,8,1.0,0.0,1.0
122,North Waghi Rural,122,122,122,122,2023,9,1.0,0.0,1.0
122,North Waghi Rural,122,122,122,122,2025,9,2.0,0.0,2.0
122,North Waghi Rural,122,122,122,122,2025,11,1.0,0.0,1.0
123,Nondugl Rural,123,123,123,123,2023,1,5.0,0.0,5.0
124,Karimui Rural,124,124,124,124,2025,7,2.0,0.0,2.0
125,Elimbari Rural,125,125,125,125,2025,8,1.0,0.0,1.0
129,Tabare Rural,129,129,129,129,2025,3,2.0,0.0,2.0
13,Daru Urban LLG,13,13,13,13,2021,5,1.0,0.0,1.0
13,Daru Urban LLG,13,13,13,13,2022,10,0.0,1.0,1.0
133,Siane Rural,133,133,133,133,2025,4,3.0,0.0,3.0
138,Kup Rural,138,138,138,138,2022,8,1.0,0.0,1.0
138,Kup Rural,138,138,138,138,2024,1,0.0,1.0,1.0
